,Actual Load
2024-06-05 00:30:00+02:00,43284.0
2024-06-05 00:45:00+02:00,42737.0
2024-06-05 01:00:00+02:00,42188.0
2024-06-05 01:15:00+02:00,42001.0
2024-06-05 01:30:00+02:00,42141.0
2024-06-05 01:45:00+02:00,42200.0
2024-06-05 02:00:00+02:00,42255.0
2024-06-05 02:15:00+02:00,41737.0
2024-06-05 02:30:00+02:00,42104.0
2024-06-05 02:45:00+02:00,41875.0
2024-06-05 03:00:00+02:00,41581.0
2024-06-05 03:15:00+02:00,41475.0
2024-06-05 03:30:00+02:00,41728.0
2024-06-05 03:45:00+02:00,42001.0
2024-06-05 04:00:00+02:00,42568.0
2024-06-05 04:15:00+02:00,42772.0
2024-06-05 04:30:00+02:00,43363.0
2024-06-05 04:45:00+02:00,43676.0
2024-06-05 05:00:00+02:00,44833.0
2024-06-05 05:15:00+02:00,44924.0
2024-06-05 05:30:00+02:00,46203.0
2024-06-05 05:45:00+02:00,47943.0
2024-06-05 06:00:00+02:00,50792.0
2024-06-05 06:15:00+02:00,53183.0
2024-06-05 06:30:00+02:00,54742.0
2024-06-05 06:45:00+02:00,56053.0
2024-06-05 07:00:00+02:00,57252.0
2024-06-05 07:15:00+02:00,58014.0
2024-06-05 07:30:00+02:00,58741.0
2024-06-05 07:45:00+02:00,59505.0
2024-06-05 08:00:00+02:00,60382.0
2024-06-05 08:15:00+02:00,60979.0
2024-06-05 08:30:00+02:00,61388.0
2024-06-05 08:45:00+02:00,61987.0
2024-06-05 09:00:00+02:00,61205.0
2024-06-05 09:15:00+02:00,61490.0
2024-06-05 09:30:00+02:00,62167.0
2024-06-05 09:45:00+02:00,62032.0
2024-06-05 10:00:00+02:00,61672.0
2024-06-05 10:15:00+02:00,61846.0
2024-06-05 10:30:00+02:00,61939.0
2024-06-05 10:45:00+02:00,62442.0
2024-06-05 11:00:00+02:00,62303.0
2024-06-05 11:15:00+02:00,62521.0
2024-06-05 11:30:00+02:00,62978.0
2024-06-05 11:45:00+02:00,62757.0
2024-06-05 12:00:00+02:00,62336.0
2024-06-05 12:15:00+02:00,61869.0
2024-06-05 12:30:00+02:00,61574.0
2024-06-05 12:45:00+02:00,61401.0
2024-06-05 13:00:00+02:00,61761.0
2024-06-05 13:15:00+02:00,61381.0
2024-06-05 13:30:00+02:00,60805.0
2024-06-05 13:45:00+02:00,60170.0
2024-06-05 14:00:00+02:00,59873.0
2024-06-05 14:15:00+02:00,60039.0
2024-06-05 14:30:00+02:00,59607.0
2024-06-05 14:45:00+02:00,58946.0
2024-06-05 15:00:00+02:00,58539.0
2024-06-05 15:15:00+02:00,57550.0
2024-06-05 15:30:00+02:00,57588.0
2024-06-05 15:45:00+02:00,56679.0
